"Categories Data Filtered by: Selected JCR Year: 2015 Selected Editions: SCIE,SSCI",,,,,
Category,Edition,# Journals,Total Cites,Median Impact Factor,Aggregate Impact Factor
ECONOMICS,SSCI,345,"608,521",0.829,1.336
MATHEMATICS,SCIE,312,"405,433",0.614,0.735
BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,289,"3,273,965",2.67,4.093
"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,271,"2,561,259",1.642,3.984
"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,257,"1,039,294",1.277,1.847
NEUROSCIENCES,SCIE,256,"2,053,415",2.706,3.9
PHARMACOLOGY & PHARMACY,SCIE,255,"1,342,294",2.33,3.039
"MATHEMATICS, APPLIED",SCIE,254,"424,549",0.801,1.064
EDUCATION & EDUCATIONAL RESEARCH,SSCI,231,"202,093",0.896,1.059
ENVIRONMENTAL SCIENCES,SCIE,225,"1,412,031",1.737,3.107
ONCOLOGY,SCIE,213,"1,634,966",2.915,4.315
PLANT SCIENCES,SCIE,209,"927,887",1.351,2.664
SURGERY,SCIE,200,"1,000,968",1.566,2.233
CLINICAL NEUROLOGY,SCIE,193,"1,064,433",2.291,3.186
MANAGEMENT,SSCI,192,"470,513",1.278,1.896
CELL BIOLOGY,SCIE,187,"1,901,313",3.181,5.602
"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,184,"894,708",1.659,2.631
LINGUISTICS,SSCI,181,"105,399",0.568,1.007
"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,173,"718,123",1.628,2.463
GENETICS & HEREDITY,SCIE,166,"1,072,078",2.484,4.104
"CHEMISTRY, MULTIDISCIPLINARY",SCIE,163,"2,825,242",1.798,5.586
POLITICAL SCIENCE,SSCI,163,"138,957",0.802,1.105
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,161,"1,103,236",2.137,3.343
ZOOLOGY,SCIE,161,"329,491",0.989,1.427
"MEDICINE, GENERAL & INTERNAL",SCIE,155,"1,198,993",1.256,4.104
"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,153,"359,028",1.504,1.948
IMMUNOLOGY,SCIE,151,"1,132,972",2.812,4.204
ECOLOGY,SCIE,150,"938,333",1.832,3.176
LAW,SSCI,149,"100,076",0.841,1.171
"PHYSICS, APPLIED",SCIE,145,"1,653,003",1.611,3.261
"CHEMISTRY, PHYSICAL",SCIE,144,"2,584,779",2.258,4.638
"COMPUTER SCIENCE, INFORMATION SYSTEMS",SCIE,144,"238,587",1.127,1.633
PSYCHIATRY,SCIE,142,"698,523",2.144,3.492
SOCIOLOGY,SSCI,142,"178,756",0.897,1.147
PSYCHIATRY,SSCI,139,"480,539",1.737,2.988
VETERINARY SCIENCES,SCIE,138,"277,519",0.871,1.256
"ENGINEERING, CHEMICAL",SCIE,135,"871,807",1.409,3.071
MECHANICS,SCIE,135,"522,969",1.389,2.041
ENDOCRINOLOGY & METABOLISM,SCIE,133,"846,837",2.947,4.027
"ENGINEERING, MECHANICAL",SCIE,132,"393,005",1.091,1.73
"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",SCIE,130,"331,014",1.403,2.25
"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,129,"349,140",1.035,2.195
"ENGINEERING, CIVIL",SCIE,126,"368,978",1.024,1.796
FOOD SCIENCE & TECHNOLOGY,SCIE,125,"628,901",1.451,2.251
CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,124,"817,391",2.186,3.92
"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,124,"694,043",2.349,3.102
"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,124,"672,103",1.855,2.777
MICROBIOLOGY,SCIE,123,"980,293",2.483,3.681
STATISTICS & PROBABILITY,SCIE,123,"319,757",0.882,1.128
"PSYCHOLOGY, CLINICAL",SSCI,122,"322,779",1.663,2.492
BUSINESS,SSCI,120,"347,194",1.417,1.932
PEDIATRICS,SCIE,120,"419,851",1.517,2.009
NURSING,SCIE,116,"128,424",1.049,1.24
NURSING,SSCI,114,"124,547",1.026,1.218
"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,106,"158,525",1,1.238
"COMPUTER SCIENCE, THEORY & METHODS",SCIE,105,"165,495",1,1.465
"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,104,"306,863",1.522,2.056
ENVIRONMENTAL STUDIES,SSCI,104,"205,415",1.463,2.494
MARINE & FRESHWATER BIOLOGY,SCIE,104,"399,530",1.498,1.994
"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",SCIE,101,"239,203",1.123,1.468
"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,95,"102,927",0.862,1.197
"BUSINESS, FINANCE",SSCI,94,"155,831",0.94,1.415
ENTOMOLOGY,SCIE,94,"159,984",1.038,1.442
"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,91,"281,803",1.303,1.838
OPTICS,SCIE,90,"580,015",1.593,2.22
TOXICOLOGY,SCIE,90,"401,681",2.276,2.892
ENERGY & FUELS,SCIE,88,"805,038",1.982,4.383
HEALTH CARE SCIENCES & SERVICES,SCIE,88,"272,255",1.708,2.428
HISTORY,SSCI,87,"20,662",0.286,0.351
BIOLOGY,SCIE,86,"404,845",1.344,2.639
INFORMATION SCIENCE & LIBRARY SCIENCE,SSCI,86,"93,764",0.867,1.559
INTERNATIONAL RELATIONS,SSCI,86,"56,469",0.812,1.158
"ENGINEERING, MULTIDISCIPLINARY",SCIE,85,"182,153",1,1.505
POLYMER SCIENCE,SCIE,85,"639,373",1.629,2.99
"PSYCHOLOGY, EXPERIMENTAL",SSCI,85,"320,525",1.947,2.578
WATER RESOURCES,SCIE,85,"377,369",1.388,2.214
ANTHROPOLOGY,SSCI,84,"95,080",0.797,1.434
METEOROLOGY & ATMOSPHERIC SCIENCES,SCIE,84,"454,284",1.736,3.081
AGRONOMY,SCIE,83,"237,099",0.91,1.742
INFECTIOUS DISEASES,SCIE,83,"476,054",2.483,3.402
NANOSCIENCE & NANOTECHNOLOGY,SCIE,83,"1,128,562",2.146,5.554
PHYSIOLOGY,SCIE,83,"531,404",2.186,2.971
