"Categories Data Filtered by: Selected JCR Year: 2016 Selected Editions: SCIE,SSCI",,,,,
Category,Edition,# Journals,Total Cites,Median Impact Factor,Aggregate Impact Factor
ECONOMICS,SSCI,347,"722,250",0.931,1.49
MATHEMATICS,SCIE,311,"440,268",0.643,0.775
BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,290,"3,435,913",2.78,4.207
"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,275,"2,957,270",1.86,4.328
"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,262,"1,476,892",1.663,2.577
NEUROSCIENCES,SCIE,259,"2,169,549",2.906,3.939
PHARMACOLOGY & PHARMACY,SCIE,257,"1,461,088",2.415,3.102
"MATHEMATICS, APPLIED",SCIE,255,"490,826",0.925,1.191
EDUCATION & EDUCATIONAL RESEARCH,SSCI,235,"267,685",1.107,1.28
ENVIRONMENTAL SCIENCES,SCIE,229,"1,670,930",1.826,3.392
ONCOLOGY,SCIE,217,"1,812,872",2.993,4.469
PLANT SCIENCES,SCIE,212,"1,012,212",1.33,2.754
SURGERY,SCIE,197,"1,130,382",1.701,2.493
CLINICAL NEUROLOGY,SCIE,194,"1,171,347",2.429,3.35
MANAGEMENT,SSCI,194,"607,921",1.719,2.393
CELL BIOLOGY,SCIE,190,"2,044,775",3.227,5.693
"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,188,"814,966",1.723,2.603
LINGUISTICS,SSCI,182,"125,788",0.659,1.036
"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,176,"796,967",1.809,2.569
GENETICS & HEREDITY,SCIE,167,"1,132,497",2.507,4.064
"CHEMISTRY, MULTIDISCIPLINARY",SCIE,166,"3,088,211",1.865,5.649
POLITICAL SCIENCE,SSCI,165,"176,772",1.053,1.367
ZOOLOGY,SCIE,163,"347,733",1.038,1.434
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,160,"1,213,838",2.116,3.515
"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,157,"409,702",1.556,2.004
"MEDICINE, GENERAL & INTERNAL",SCIE,155,"1,336,360",1.321,4.449
ECOLOGY,SCIE,153,"1,017,909",1.897,3.24
IMMUNOLOGY,SCIE,151,"1,210,776",3.093,4.364
LAW,SSCI,149,"109,160",0.862,1.184
"PHYSICS, APPLIED",SCIE,148,"1,875,869",1.688,3.587
"CHEMISTRY, PHYSICAL",SCIE,146,"2,865,201",2.376,4.96
"COMPUTER SCIENCE, INFORMATION SYSTEMS",SCIE,146,"335,853",1.86,2.345
SOCIOLOGY,SSCI,143,"212,264",0.994,1.261
PSYCHIATRY,SCIE,142,"744,899",2.393,3.532
PSYCHIATRY,SSCI,139,"517,146",1.682,3.063
ENDOCRINOLOGY & METABOLISM,SCIE,138,"933,411",3.046,4.191
VETERINARY SCIENCES,SCIE,136,"294,128",0.863,1.279
"ENGINEERING, CHEMICAL",SCIE,135,"1,031,538",1.571,3.446
"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",SCIE,133,"457,382",1.807,2.997
MECHANICS,SCIE,133,"615,517",1.652,2.419
"ENGINEERING, MECHANICAL",SCIE,130,"505,468",1.421,2.104
FOOD SCIENCE & TECHNOLOGY,SCIE,130,"684,982",1.419,2.326
"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,129,"398,319",1.267,2.286
"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,128,"774,102",2.507,2.983
"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,127,"737,842",1.896,2.847
CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,126,"943,998",2.325,4.435
"ENGINEERING, CIVIL",SCIE,125,"477,977",1.353,2.246
MICROBIOLOGY,SCIE,125,"1,046,594",2.549,3.71
STATISTICS & PROBABILITY,SCIE,124,"371,282",1.002,1.309
BUSINESS,SSCI,121,"467,711",1.941,2.557
PEDIATRICS,SCIE,121,"469,420",1.597,2.109
